year,tas,pr,gpp,npp,region,model,ln_gpp,ln_npp,pct_growth_gpp,pct_growth_npp
1907,5.886029415043557,0.4640713854727733,1.5111641604945347,1.04595163911223,Lithuania,CNRM-ESM2-1,0.41288032099919697,0.044927130455574504,0.24948809996830443,0.24741017153828038
1908,6.240890488994751,0.23862677665065954,1.1203858287930797,0.7883804231292906,Lithuania,CNRM-ESM2-1,0.11367311597777015,-0.23777453515178532,-0.29920720502142684,-0.2827016656073598
1909,6.112207560778774,0.5689911181344833,1.2802086068121619,0.9179467030351595,Lithuania,CNRM-ESM2-1,0.2470230387246959,-0.08561594774296458,0.13334992274692575,0.15215858740882074
1910,7.458900542237473,0.36854244438812106,0.9600862083333963,0.6587597539930761,Lithuania,CNRM-ESM2-1,-0.04073219820477712,-0.41739637241557603,-0.287755236929473,-0.3317804246726115
1911,6.03379954159533,0.8182168558860904,2.1711077263102214,1.472909657595432,Lithuania,CNRM-ESM2-1,0.775237510259392,0.3872398033493779,0.8159697084641692,0.8046361757649539
1912,5.170039263163554,0.7291016524549583,2.1812295494740903,1.4521692929555958,Lithuania,CNRM-ESM2-1,0.7798887313253782,0.3730585025508005,0.004651221065986144,-0.014181300798577434
1913,5.874778099582633,0.6351519951916985,1.9133597496162653,1.2369585447122338,Lithuania,CNRM-ESM2-1,0.6488607279877084,0.21265558008583801,-0.13102800333766973,-0.16040292246496246
1914,4.783149893425389,0.5121477649389842,1.8643649772847133,1.260593503513829,Lithuania,CNRM-ESM2-1,0.6229205003607734,0.2315826445962294,-0.025940227626935042,0.01892706451039139
1915,5.548736544395713,0.5805470996569198,1.3258242963380933,0.9467749385136353,Lithuania,CNRM-ESM2-1,0.2820343764515466,-0.05469387136560273,-0.3408861239092268,-0.2862765159618321
1916,5.637607466466912,0.5889367909905093,1.3400306657633172,0.9367033903607017,Lithuania,CNRM-ESM2-1,0.2926924985989626,-0.06538859930023667,0.010658122147416016,-0.010694727934633948
1917,5.162986915623227,0.6734062399884465,1.6231836262945536,1.1529569054988824,Lithuania,CNRM-ESM2-1,0.48438942217853753,0.14232986461173794,0.1916969235795749,0.20771846391197463
1918,5.735429626186166,0.26622597375192153,1.0718772856061123,0.6704033846737281,Lithuania,CNRM-ESM2-1,0.06941158371378908,-0.3998756810893474,-0.41497783846474845,-0.5422055457010854
1919,5.6093261440051005,0.6890008412778779,1.436852872546209,0.967705964944514,Lithuania,CNRM-ESM2-1,0.3624552167098747,-0.03282699307113152,0.2930436329960856,0.3670486880182159
1920,5.560342114592269,0.6637364066952766,1.8881628103006296,1.2451690285769417,Lithuania,CNRM-ESM2-1,0.6356042982747494,0.21927128662656614,0.2731490815648747,0.25209827969769766
1921,5.828004267444365,0.7276268702585346,1.660421754930822,1.174172881426811,Lithuania,CNRM-ESM2-1,0.5070716393337644,0.16056396901998873,-0.12853265894098498,-0.05870731760657741
1922,6.175079930971776,0.5717955679192088,1.6987902079446118,1.1608232608903044,Lithuania,CNRM-ESM2-1,0.5299163553390078,0.14912946105893757,0.022844716005243404,-0.011434507961051166
1923,6.388495402575643,0.5532784092698818,1.454351993631961,0.9945882247397301,Lithuania,CNRM-ESM2-1,0.3745604362175173,-0.0054264719634888854,-0.15535591912149055,-0.15455593302242646
1924,5.463988449584425,0.43909333830338,0.9385203020630252,0.6498361021467122,Lithuania,CNRM-ESM2-1,-0.06345079073028152,-0.4310350984312672,-0.4380112269477988,-0.4256086264677783
1925,5.153618520797674,0.567121956166694,1.9469079380741594,1.3523835764268664,Lithuania,CNRM-ESM2-1,0.666242441283521,0.30186864775749556,0.7296932320138024,0.7329037461887628
1926,7.218917024516638,0.3768135930978707,1.5208677486211157,1.0159173050986767,Lithuania,CNRM-ESM2-1,0.4192810592147857,0.015791953224318485,-0.24696138206873525,-0.2860766945331771
1927,7.314808355183383,0.7153765041775154,2.0143851005901228,1.3642199435013493,Lithuania,CNRM-ESM2-1,0.7003139878300968,0.31058279532334615,0.2810329286153111,0.2947908420990277
1928,5.796611852079783,0.7172053429611365,2.3677695265201453,1.5148747781995517,Lithuania,CNRM-ESM2-1,0.8619483839574089,0.4153327808914871,0.16163439612731212,0.10474998556814097
1929,5.823673363254518,0.5018193030189346,1.8363914747988401,1.2103993698093207,Lithuania,CNRM-ESM2-1,0.6078024910378067,0.19095036284524497,-0.2541458929196022,-0.22438241804624215
1930,5.790285126150479,0.9004073921571097,2.437716332371799,1.5469586538352509,Lithuania,CNRM-ESM2-1,0.8910616716939388,0.43629084455971917,0.2832591806561321,0.2453404817144742
1931,4.578694522108681,0.2732321967960074,1.654271743168231,1.1258259336558303,Lithuania,CNRM-ESM2-1,0.5033608776460682,0.11851692954000284,-0.3877007940478706,-0.3177739150197163
1932,5.989714238415066,0.628009941789414,1.4431603233146217,1.0455773706597504,Lithuania,CNRM-ESM2-1,0.36683537778825986,0.044569240648905904,-0.13652549985780832,-0.07394768889109693
1933,6.277063963728988,0.10930845263362148,0.8108887806211436,0.5606232401018834,Lithuania,CNRM-ESM2-1,-0.2096243728393344,-0.5787061853456722,-0.5764597506275942,-0.6232754259945781
1934,6.580220819063944,0.5760351326918396,1.46765300987353,1.0244995202607128,Lithuania,CNRM-ESM2-1,0.3836645329567386,0.024204220429955958,0.593288905796073,0.6029104057756282
1935,6.3067097703071795,0.6062846481424691,1.636295379959963,1.130693924959451,Lithuania,CNRM-ESM2-1,0.49243477198112495,0.12283153713084172,0.10877023902438637,0.09862731670088576
1936,5.668513858046177,0.8233234851686546,2.6276835855509204,1.6143040243267288,Lithuania,CNRM-ESM2-1,0.9661026921372217,0.4789039191019392,0.4736679201560967,0.3560723819710975
1937,6.239851665061394,0.8133790594049317,2.310806102380184,1.5036657081797122,Lithuania,CNRM-ESM2-1,0.8375964257299441,0.4079059323248129,-0.12850626640727758,-0.07099798677712627
1938,7.3938884020940545,0.7938836532701207,1.777641973684203,1.1394199831326104,Lithuania,CNRM-ESM2-1,0.5752877521830765,0.13051934620473862,-0.2623086735468676,-0.2773865861200743
1939,4.6323431006305595,0.16375601629465114,1.3789927419843233,0.9643830985956273,Lithuania,CNRM-ESM2-1,0.32135333555171797,-0.03626665813393022,-0.2539344166313585,-0.16678600433866886
1940,7.007413987808605,0.2671066074134309,0.8931996965365551,0.6020173949881477,Lithuania,CNRM-ESM2-1,-0.11294509876478682,-0.507468938761629,-0.4342984343165048,-0.4712022806276988
1941,6.181074530893284,0.43652798232507184,1.2207211398810558,0.8733184978139996,Lithuania,CNRM-ESM2-1,0.1994417823785595,-0.13545495827526724,0.31238688114334634,0.3720139804863618
1942,6.587966152522142,0.40253252119281735,1.3280039058657513,0.8250523092224996,Lithuania,CNRM-ESM2-1,0.28367699221388626,-0.19230848953929425,0.08423520983532676,-0.05685353126402701
